CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,cluster
12544,30,2,355.7,4,2,2,422,1
12545,75,2,1000.39,2,2,4,224,1
12546,47,3,1141.5,3,3,4,334,1
12547,198,2,207.79999999999998,1,2,1,121,0
12548,166,1,95.19999999999999,2,1,1,211,0
12550,79,1,964.83,2,1,4,214,1
12551,358,1,168.0,1,1,1,111,0
12552,39,2,437.82,3,2,2,322,1
12553,8,14,3652.25,5,5,5,555,1
12556,50,2,599.56,3,2,3,323,1
12557,16,5,11990.960000000001,4,4,5,445,1
12558,2,2,1.0658141036401503e-14,5,2,1,521,1
12559,311,3,536.21,1,3,3,133,0
12560,5,4,2101.39,5,3,5,535,1
12561,303,1,238.85,1,1,1,111,0
12562,8,7,3781.7400000000002,5,4,5,545,1
12564,261,1,456.9,1,1,2,112,0
12565,282,2,131.17,1,2,1,121,0
12566,73,2,346.7,2,2,2,222,1
12567,23,11,9114.94,4,5,5,455,1
12569,2,35,4064.9900000000002,5,5,5,555,3
12571,40,2,519.61,3,2,3,323,1
12572,9,3,1004.72,5,3,4,534,1
12573,227,1,160.54000000000002,1,1,1,111,0
12574,316,1,218.45,1,1,1,111,0
12576,36,6,1306.98,3,4,4,344,1
12577,35,4,564.2,3,3,3,333,1
12578,21,4,2753.36,4,3,5,435,1
12579,73,3,410.72,2,3,2,232,1
12580,247,1,415.7,1,1,2,112,0
12581,40,1,197.71,3,1,1,311,1
12582,239,2,511.36,1,2,3,123,0
12583,3,18,7187.34,5,5,5,555,3
12584,4,18,1893.95,5,5,4,554,1
12585,234,4,1982.81,1,3,4,134,0
12586,17,2,179.94000000000003,4,2,1,421,1
12587,8,1,144.0,5,1,1,511,1
12588,39,1,214.89999999999998,3,1,1,311,1
12589,29,2,646.68,4,2,3,423,1
12590,190,3,9861.38,1,3,5,135,0
12591,317,1,452.84999999999997,1,1,2,112,0
12592,92,2,437.6,2,2,2,222,1
12593,109,3,418.09999999999997,2,3,2,232,1
12594,38,11,3320.2200000000003,3,5,5,355,1
12596,51,2,618.27,3,2,3,323,1
12597,19,5,3683.13,4,4,5,445,1
12598,10,9,3002.68,5,5,5,555,1
12599,29,7,1032.58,4,4,4,444,1
12600,29,11,2581.04,4,5,5,455,1
12601,190,6,569.5600000000001,1,4,3,143,0
12602,59,1,153.12,3,1,1,311,1
12603,22,1,739.1999999999999,4,1,3,413,1
12604,79,2,254.18,2,2,2,222,1
12607,58,2,3.552713678800501e-15,3,2,1,321,1
12609,78,3,1126.85,2,3,4,234,1
12610,23,7,2057.99,4,4,5,445,1
12611,52,1,1193.32,3,1,4,314,1
12612,58,2,643.59,3,2,3,323,1
12613,31,6,3218.98,4,4,5,445,1
12614,278,1,315.6,1,1,2,112,0
12615,2,4,2291.19,5,3,5,535,1
12616,85,5,657.25,2,4,3,243,1
12617,29,1,352.98,4,1,2,412,1
12618,22,1,177.31,4,1,1,411,1
12619,16,13,3214.81,4,5,5,455,1
12620,15,3,1339.41,4,3,4,434,1
12621,2,23,13612.07,5,5,5,555,3
12622,232,1,180.1,1,1,1,111,0
12623,276,1,305.1,1,1,2,112,0
12624,106,2,641.13,2,2,3,223,1
12625,212,3,2614.32,1,3,5,135,0
12626,23,13,6388.35,4,5,5,455,1
12627,11,7,4478.53,5,4,5,545,1
12628,4,4,769.61,5,3,3,533,1
12630,10,2,1270.88,5,2,4,524,1
12631,57,1,640.5,3,1,3,313,1
12633,59,5,2140.63,3,4,5,345,1
12635,90,2,1689.18,2,2,4,224,1
12637,67,10,5934.25,3,5,5,355,1
12638,33,1,671.69,3,1,3,313,1
12639,239,1,486.1,1,1,3,113,0
12640,24,3,1174.58,4,3,4,434,1
12641,115,1,185.9,2,1,1,211,1
12642,25,3,1013.26,4,3,4,434,1
12643,128,6,3344.64,2,4,5,245,1
12644,130,1,477.91,2,1,2,212,1
12645,34,5,1755.38,3,4,4,344,1
12646,5,2,1346.97,5,2,4,524,1
12647,22,13,3669.92,4,5,5,455,1
12648,155,1,318.05,2,1,2,212,0
12649,107,4,603.71,2,3,3,233,1
12650,3,1,314.44,5,1,2,512,1
12651,335,1,114.0,1,1,1,111,0
12652,322,2,914.53,1,2,3,123,0
12653,149,2,2209.85,2,2,5,225,0
12654,11,5,601.98,5,4,3,543,1
12656,17,8,3982.72,4,5,5,455,1
12657,11,5,1152.06,5,4,4,544,1
12658,19,1,686.05,4,1,3,413,1
12659,30,1,91.68,4,1,1,411,1
12660,11,1,245.1,5,1,2,512,1
12662,1,12,3817.08,5,5,5,555,1
12664,8,10,4863.88,5,5,5,555,1
12665,325,2,61.75,1,2,1,121,0
12667,58,1,620.13,3,1,3,313,1
12668,7,6,3743.18,5,4,5,545,1
12669,151,4,1607.73,2,3,4,234,0
12670,10,6,2986.15,5,4,5,545,1
12672,330,1,225.89999999999998,1,1,1,111,0
12673,5,2,610.52,5,2,3,523,1
12674,12,7,1922.26,4,4,4,444,1
12676,25,6,1331.39,4,4,4,444,1
12678,42,13,17588.26,3,5,5,355,3
12679,52,9,1058.67,3,5,4,354,1
12680,1,4,862.81,5,4,3,543,1
12681,15,27,13677.59,4,5,5,455,3
12682,4,31,12279.82,5,5,5,555,3
12683,4,20,8221.09,5,5,5,555,3
12684,8,7,2283.63,5,4,5,545,1
12685,28,6,2863.08,4,4,5,445,1
12686,372,1,89.14,1,1,1,111,0
12688,114,1,4873.8099999999995,2,1,5,215,1
12689,26,2,1247.61,4,2,4,424,1
12690,206,1,389.01,1,1,2,112,0
12691,28,6,1035.8,4,4,4,444,1
12693,121,6,830.96,2,4,3,243,1
12694,70,2,869.67,3,2,3,323,1
12695,7,4,582.1,5,4,3,543,1
12697,21,5,939.02,4,4,4,444,1
12700,8,6,4867.99,5,4,5,545,1
12701,80,2,797.71,2,2,3,223,1
12702,20,1,219.0,4,1,1,411,1
12703,64,2,274.7,3,2,2,322,1
12704,7,10,2220.84,5,5,5,555,1
12705,15,14,6814.24,4,5,5,455,1
12707,292,1,603.42,1,1,3,113,0
12708,30,16,2616.32,4,5,5,455,1
12709,3,26,9264.1,5,5,5,555,3
12710,97,4,1130.57,2,4,4,244,1
12712,23,17,4241.63,4,5,5,455,1
12713,1,1,848.55,5,1,3,513,1
12714,9,5,4708.86,5,4,5,545,1
12715,106,1,343.36,2,1,2,212,1
12716,4,2,1053.49,5,2,4,524,1
12717,151,3,980.98,2,3,4,234,0
12718,71,1,238.25,2,1,1,211,1
12719,5,3,608.1,5,3,3,533,1
12720,3,29,5713.28,5,5,5,555,3
12721,32,7,2628.98,3,4,5,345,1
12722,85,6,904.33,2,4,3,243,1
12723,4,5,725.07,5,4,3,543,1
12724,5,4,1031.41,5,4,4,544,1
12725,371,1,427.8,1,1,2,112,0
12726,28,7,2609.1,4,4,5,445,1
12727,11,9,3947.7,5,5,5,555,1
12728,71,4,836.33,2,4,3,243,1
12729,114,1,453.01,2,1,2,212,1
12731,24,14,18793.41,4,5,5,455,3
12732,180,1,236.26000000000002,1,1,1,111,0
12733,234,1,383.95,1,1,2,112,0
12734,353,1,110.39999999999999,1,1,1,111,0
12735,315,2,779.5699999999999,1,2,3,123,0
12736,333,1,234.0,1,1,1,111,0
12738,372,1,155.35,1,1,1,111,0
12739,78,2,1013.04,2,2,4,224,1
12740,64,1,427.6,3,1,2,312,1
12743,134,2,540.13,2,2,3,223,1
12744,52,10,9120.39,3,5,5,355,1
12747,2,11,4196.01,5,5,5,555,1
12748,1,223,28405.56,5,5,5,555,2
12749,4,8,3868.2,5,5,5,555,1
12750,129,1,275.88,2,1,2,212,1
12752,81,1,4366.78,2,1,5,215,1
12753,4,11,21024.01,5,5,5,555,3
12754,236,5,2949.12,1,4,5,145,0
12755,250,4,2203.2,1,4,5,145,0
12756,87,1,112.07999999999998,2,1,1,211,1
12757,16,19,4205.25,4,5,5,455,3
12758,117,2,2791.59,2,2,5,225,1
12759,52,3,1531.44,3,3,4,334,1
12762,8,2,1898.52,5,2,4,524,1
12763,138,2,494.08,2,2,3,223,1
12764,317,1,1693.88,1,1,4,114,0
12766,4,7,6989.63,5,4,5,545,1
12769,239,1,1143.6,1,1,4,114,0
12770,211,1,1351.45,1,1,4,114,0
12772,60,1,892.47,3,1,3,313,1
12775,17,6,1351.24,4,4,4,444,1
12778,20,7,804.23,4,4,3,443,1
12779,21,12,3868.7,4,5,5,455,1
12781,21,5,707.72,4,4,3,443,1
12782,5,6,2273.32,5,4,5,545,1
12783,2,8,1603.87,5,5,4,554,1
12784,9,2,532.8199999999999,5,2,3,523,1
12785,3,2,305.71,5,2,2,522,1
12787,10,3,463.66,5,3,2,532,1
12789,65,1,91.85,3,1,1,311,1
12790,192,1,324.92,1,1,2,112,0
12791,374,1,192.60000000000002,1,1,1,111,0
12792,257,1,400.53999999999996,1,1,2,112,0
12793,335,2,545.48,1,2,3,123,0
12794,53,2,860.41,3,2,3,323,1
12795,19,1,430.48,4,1,2,412,1
12797,360,3,194.18,1,3,1,131,0
12798,10,3,6977.04,5,3,5,535,1
12802,184,2,412.58,1,2,2,122,0
12808,37,3,483.65000000000003,3,3,3,333,1
12809,168,2,484.36,2,2,3,223,0
12811,261,3,514.85,1,3,3,133,0
12812,45,1,229.64000000000001,3,1,1,311,1
12814,102,1,125.92,2,1,1,211,1
12815,148,2,1063.46,2,2,4,224,0
12816,96,2,572.2,2,2,3,223,1
12817,281,1,166.04,1,1,1,111,0
12818,178,2,1517.88,1,2,4,124,0
12820,3,4,942.34,5,4,4,544,1
12821,214,1,92.72,1,1,1,111,0
12822,71,3,918.98,2,3,4,234,1
12823,75,5,1759.5,2,4,4,244,1
12824,60,1,397.12,3,1,2,312,1
12826,3,8,1468.1200000000001,5,5,4,554,1
12827,6,3,430.15000000000003,5,3,2,532,1
12828,3,6,1018.71,5,4,4,544,1
12829,322,3,253.05,1,3,2,132,0
12830,38,7,6748.4,3,4,5,345,1
12831,262,1,215.05,1,1,1,111,0
12832,32,2,383.03,3,2,2,322,1
12833,145,1,417.38,2,1,2,212,0
12834,283,1,312.38,1,1,2,112,0
12836,59,4,2610.36,3,4,5,345,1
12837,173,1,134.1,2,1,1,211,0
12838,34,2,671.95,3,2,3,323,1
12839,3,16,5583.62,5,5,5,555,1
12840,144,6,2714.27,2,4,5,245,1
12841,5,26,3845.63,5,5,5,555,3
12842,70,2,1118.99,3,2,4,324,1
12843,66,9,1680.76,3,5,4,354,1
12844,29,2,325.96000000000004,4,2,2,422,1
12845,267,4,354.09,1,4,2,142,0
12847,22,1,843.64,4,1,3,413,1
12849,31,2,1010.29,4,2,4,424,1
12851,97,1,131.81,2,1,1,211,1
12852,290,2,299.75,1,2,2,122,0
12853,108,9,1881.7,2,5,4,254,1
12854,79,5,1280.9,2,4,4,244,1
12855,373,1,38.1,1,1,1,111,0
12856,8,8,2153.53,5,5,5,555,1
12857,211,2,1106.4,1,2,4,124,0
12863,52,2,504.2,3,2,3,323,1
12864,138,1,147.12,2,1,1,211,1
12865,26,3,1548.07,4,3,4,434,1
12866,283,1,559.12,1,1,3,113,0
12867,26,10,3958.74,4,5,5,455,1
12868,186,6,1607.0600000000002,1,4,4,144,0
12871,84,2,380.64,2,2,2,222,1
12872,327,2,599.97,1,2,3,123,0
12873,282,1,374.0,1,1,2,112,0
12875,143,2,343.2300000000001,2,2,2,222,0
12876,58,2,2218.02,3,2,5,325,1
12877,4,12,1535.77,5,5,4,554,1
12878,18,3,841.64,4,3,3,433,1
12879,45,4,552.5699999999999,3,4,3,343,1
12881,276,1,298.0,1,1,2,112,0
12882,9,2,1463.04,5,2,4,524,1
12883,25,4,703.47,4,4,3,443,1
12884,88,1,309.05,2,1,2,212,1
12885,63,4,1158.27,3,4,4,344,1
12886,68,3,1351.09,3,3,4,334,1
12888,214,4,313.77,1,4,2,142,0
12890,24,1,376.71999999999997,4,1,2,412,1
12891,186,3,331.0,1,3,2,132,0
12893,31,1,176.55,4,1,1,411,1
12895,42,3,347.3,3,3,2,332,1
12897,205,2,216.5,1,2,1,121,0
12901,9,36,16293.1,5,5,5,555,3
12902,265,1,138.68,1,1,1,111,0
12904,18,2,496.06,4,2,3,423,1
12906,12,5,2919.81,4,4,5,445,1
12908,59,4,246.0,3,4,2,342,1
12909,40,8,2128.83,3,5,5,355,1
12910,23,8,3075.04,4,5,5,455,1
12912,3,5,1662.3,5,4,4,544,1
12913,5,5,2483.63,5,4,5,545,1
12915,149,2,363.65,2,2,2,222,0
12916,139,5,2921.15,2,4,5,245,1
12917,128,1,594.0,2,1,3,213,1
12919,8,8,1301.44,5,5,4,554,1
12920,17,1,162.78,4,1,1,411,1
12921,4,50,16389.74,5,5,5,555,3
12922,161,1,405.38,2,1,2,212,0
12923,64,1,172.82,3,1,1,311,1
12924,88,5,929.95,2,4,4,244,1
12925,5,2,694.05,5,2,3,523,1
12928,35,5,2062.7000000000003,3,4,5,345,1
12929,122,2,105.1,2,2,1,221,1
12930,78,4,409.9,2,4,2,242,1
12931,22,20,33462.81,4,5,5,455,3
12933,24,4,606.28,4,4,3,443,1
12935,2,8,2156.45,5,5,5,555,1
12936,17,5,1012.9,4,4,4,444,1
12937,15,4,1504.27,4,4,4,444,1
12938,26,1,114.14,4,1,1,411,1
12939,64,8,11581.8,3,5,5,355,1
12940,46,4,862.44,3,4,3,343,1
12942,131,3,675.6,2,3,3,233,1
12944,36,2,604.51,3,2,3,323,1
12945,288,1,462.95,1,1,2,112,0
12947,144,11,1407.29,2,5,4,254,1
12948,16,8,2053.7,4,5,5,455,1
12949,31,10,4143.02,4,5,5,455,1
12950,2,3,1843.0,5,3,4,534,1
12951,9,8,1042.07,5,5,4,554,1
12952,6,5,1382.8400000000001,5,4,4,544,1
12953,10,1,329.85,5,1,2,512,1
12955,1,14,4734.26,5,5,5,555,1
12956,306,1,108.07,1,1,1,111,0
12957,4,12,3979.04,5,5,5,555,1
12962,7,2,266.39,5,2,2,522,1
12963,8,9,1841.03,5,5,4,554,1
12965,89,1,769.8100000000001,2,1,3,213,1
12966,10,1,160.18,5,1,1,511,1
12967,3,4,1194.75,5,4,4,544,1
12968,112,1,135.95,2,1,1,211,1
12970,7,4,405.47,5,4,2,542,1
12971,4,89,10930.26,5,5,5,555,3
12974,198,1,144.8,1,1,1,111,0
12976,212,1,738.6,1,1,3,113,0
12977,156,1,39.239999999999995,2,1,1,211,0
12980,156,12,7092.06,2,5,5,255,1
12981,30,2,372.21999999999997,4,2,2,422,1
12982,240,2,377.2,1,2,2,122,0
12984,19,1,97.5,4,1,1,411,1
12985,1,3,1215.6200000000001,5,3,4,534,1
12987,74,3,545.0,2,3,3,233,1
12988,292,1,505.82,1,1,3,113,0
12989,3,19,6854.51,5,5,5,555,3
12990,31,3,409.5,4,3,2,432,1
12991,23,2,503.76,4,2,3,423,1
12993,23,4,414.76,4,4,2,442,1
12994,4,5,902.22,5,4,3,543,1
12995,78,2,200.72,2,2,1,221,1
12997,22,7,1197.94,4,4,4,444,1
12999,196,3,455.88,1,3,2,132,0
13000,107,3,534.85,2,3,3,233,1
13001,4,15,9765.07,5,5,5,555,3
13002,318,1,120.94999999999999,1,1,1,111,0
13003,106,3,149.05,2,3,1,231,1
13004,12,22,5613.43,4,5,5,455,3
13005,174,3,468.95,2,3,2,232,0
13006,56,1,81.57,3,1,1,311,1
13008,323,2,178.46999999999997,1,2,1,121,0
13011,372,1,50.550000000000004,1,1,1,111,0
13012,9,11,1296.6200000000001,5,5,4,554,1
13013,1,15,4786.99,5,5,5,555,1
13014,3,16,3365.43,5,5,5,555,1
13015,53,5,3339.64,3,4,5,345,1
13016,73,3,789.89,2,3,3,233,1
13017,7,1,204.0,5,1,1,511,1
13018,16,29,7272.75,4,5,5,455,3
13021,4,12,2584.4,5,5,5,555,1
13023,64,2,689.9,3,2,3,323,1
13026,1,8,936.15,5,5,4,554,1
13027,114,6,6912.0,2,4,5,245,1
13028,23,3,659.68,4,3,3,433,1
13029,31,3,1247.5,4,3,4,434,1
13030,11,2,752.4399999999999,5,2,3,523,1
13032,39,3,996.52,3,3,4,334,1
13033,357,1,190.55,1,1,1,111,0
13034,55,2,642.77,3,2,3,323,1
13035,58,3,886.63,3,3,3,333,1
13037,138,3,881.07,2,3,3,233,1
13038,80,3,908.46,2,3,3,233,1
13040,9,2,676.99,5,2,3,523,1
13043,254,2,471.57,1,2,2,122,0
13044,291,1,560.47,1,1,3,113,0
13045,99,1,305.28000000000003,2,1,2,212,1
13046,31,2,629.31,4,2,3,423,1
13047,32,18,3079.1,3,5,5,355,1
13048,14,5,1789.41,4,4,4,444,1
13049,64,2,656.6800000000001,3,2,3,323,1
13050,9,28,5684.61,5,5,5,555,3
13052,212,1,348.15000000000003,1,1,2,112,0
13055,64,4,1201.96,3,4,4,344,1
13058,25,3,271.40000000000003,4,3,2,432,1
13059,250,1,183.4,1,1,1,111,0
13060,254,1,307.53,1,1,2,112,0
13061,72,1,248.61,2,1,2,212,1
13062,191,1,346.98,1,1,2,112,0
13064,13,4,1105.59,4,4,4,444,1
13065,373,1,205.86,1,1,1,111,0
13066,24,3,430.9,4,3,2,432,1
13067,82,1,115.46000000000001,2,1,1,211,1
13068,10,2,344.0,5,2,2,522,1
13069,1,27,3713.14,5,5,5,555,3
13070,192,1,228.8,1,1,1,111,0
13072,267,1,177.15,1,1,1,111,0
13075,130,1,919.61,2,1,4,214,1
13077,1,4,728.02,5,4,3,543,1
13078,1,43,12432.28,5,5,5,555,3
13079,4,5,220.10000000000002,5,4,1,541,1
13080,179,1,58.08,1,1,1,111,0
13081,1,21,27964.48,5,5,5,555,3
13082,126,10,3595.48,2,5,5,255,1
13083,4,2,303.75,5,2,2,522,1
13085,158,3,272.38,2,3,2,232,0
13089,3,118,57322.13,5,5,5,555,2
13090,9,18,8689.39,5,5,5,555,3
13091,21,2,319.82,4,2,2,422,1
13092,71,6,459.83,2,4,2,242,1
13093,267,13,7741.47,1,5,5,155,0
13094,21,16,1708.8600000000001,4,5,4,454,1
13095,71,1,74.39999999999999,2,1,1,211,1
13097,33,14,5886.12,3,5,5,355,1
13098,1,41,28658.88,5,5,5,555,3
13099,99,1,207.35999999999999,2,1,1,211,1
13101,234,1,101.19,1,1,1,111,0
13102,1,27,6336.29,5,5,5,555,3
13103,40,1,243.94,3,1,2,312,1
13104,3,6,1098.48,5,4,4,544,1
13106,129,2,59.5,2,2,1,221,1
13107,44,5,1524.07,3,4,4,344,1
13108,373,1,350.06,1,1,2,112,0
13109,3,5,766.84,5,4,3,543,1
13110,31,8,1452.8700000000001,4,5,4,454,1
13113,1,40,10510.0,5,5,5,555,3
13115,9,14,2205.63,5,5,5,555,1
13116,117,2,485.19,2,2,3,223,1
13117,22,8,984.91,4,5,4,454,1
13118,20,7,1125.0,4,4,4,444,1
13120,239,1,30.599999999999998,1,1,1,111,0
13121,269,2,254.73,1,2,2,122,0
13122,94,2,922.39,2,2,4,224,1
13124,90,3,3756.33,2,3,5,235,1
13126,5,10,2056.29,5,5,5,555,1
13127,78,1,259.17,2,1,2,212,1
13130,94,1,64.0,2,1,1,211,1
13131,23,4,1039.3,4,4,4,444,1
13132,262,1,77.3,1,1,1,111,0
13133,274,2,109.8,1,2,1,121,0
13134,73,7,1740.63,2,4,4,244,1
13135,197,1,3096.0,1,1,5,115,0
13136,50,11,2545.38,3,5,5,355,1
13137,11,9,3557.96,5,5,5,555,1
13138,22,6,962.39,4,4,4,444,1
13139,16,8,5055.79,4,5,5,455,1
13140,108,3,422.47,2,3,2,232,1
13141,85,6,2385.8,2,4,5,245,1
13142,19,1,307.09,4,1,2,412,1
13144,333,1,110.95,1,1,1,111,0
13145,40,5,614.77,3,4,3,343,1
13146,26,1,228.91,4,1,1,411,1
13147,10,4,712.8000000000001,5,4,3,543,1
13148,29,17,3324.62,4,5,5,455,1
13149,14,4,1676.06,4,4,4,444,1
13151,203,2,1250.3700000000001,1,2,4,124,0
13153,6,1,486.22,5,1,3,513,1
13155,33,4,971.76,3,4,4,344,1
13157,49,5,1721.57,3,4,4,344,1
13158,95,4,1201.06,2,4,4,244,1
13159,9,5,1371.25,5,4,4,544,1
13160,22,1,91.8,4,1,1,411,1
13161,313,1,112.75,1,1,1,111,0
13162,122,5,1644.99,2,4,4,244,1
13165,46,2,1021.48,3,2,4,324,1
13166,282,2,414.7,1,2,2,122,0
13167,19,4,791.33,4,4,3,443,1
13168,36,5,1290.54,3,4,4,344,1
13169,64,2,712.88,3,2,3,323,1
13170,27,1,108.81,4,1,1,411,1
13171,8,5,426.81,5,4,2,542,1
13173,4,2,353.65,5,2,2,522,1
13174,16,3,2742.82,4,3,5,435,1
13176,46,1,481.49,3,1,3,313,1
13177,65,1,282.45,3,1,2,312,1
13178,26,11,5725.47,4,5,5,455,1
13182,45,1,121.18,3,1,1,311,1
13183,8,9,3957.78,5,5,5,555,1
