InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount,IsReturn,InvoiceYearMonth,InvoiceDateOnly,Weekday,CohortMonth,OrderMonth
577162,22114,HOT WATER BOTTLE TEA AND SYMPATHY,12,2011-11-18 10:24:00,4.25,13323,United Kingdom,51.0,False,2011-11,2011-11-18,Friday,2011-09,2011-11
572058,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,1,2011-10-20 12:43:00,4.25,18252,United Kingdom,4.25,False,2011-10,2011-10-20,Thursday,2011-06,2011-10
540971,22492,MINI PAINT SET VINTAGE ,36,2011-01-12 14:10:00,0.65,12383,Belgium,23.400000000000002,False,2011-01,2011-01-12,Wednesday,2010-12,2011-01
558641,85152,HAND OVER THE CHOCOLATE   SIGN ,12,2011-07-01 09:19:00,2.1,17865,United Kingdom,25.200000000000003,False,2011-07,2011-07-01,Friday,2010-12,2011-07
571557,23344,JUMBO BAG 50'S CHRISTMAS ,20,2011-10-18 09:25:00,2.08,15678,United Kingdom,41.6,False,2011-10,2011-10-18,Tuesday,2011-10,2011-10
571653,21818,GLITTER HEART DECORATION,36,2011-10-18 12:17:00,0.39,14298,United Kingdom,14.040000000000001,False,2011-10,2011-10-18,Tuesday,2010-12,2011-10
577296,72817,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,1,2011-11-18 12:47:00,0.79,17286,United Kingdom,0.79,False,2011-11,2011-11-18,Friday,2011-11,2011-11
558204,22961,JAM MAKING SET PRINTED,12,2011-06-27 13:58:00,1.45,18193,United Kingdom,17.4,False,2011-06,2011-06-27,Monday,2010-12,2011-06
581168,72800B, 4 PURPLE FLOCK DINNER CANDLES,12,2011-12-07 14:52:00,0.79,16779,United Kingdom,9.48,False,2011-12,2011-12-07,Wednesday,2010-12,2011-12
552574,21564,PINK  HEART SHAPE LOVE BUCKET ,1,2011-05-10 12:20:00,2.95,15311,United Kingdom,2.95,False,2011-05,2011-05-10,Tuesday,2010-12,2011-05
556056,22467,GUMBALL COAT RACK,3,2011-06-08 13:35:00,2.55,17841,United Kingdom,7.6499999999999995,False,2011-06,2011-06-08,Wednesday,2010-12,2011-06
546984,21121,SET/10 RED POLKADOT PARTY CANDLES,5,2011-03-18 12:35:00,1.25,15019,United Kingdom,6.25,False,2011-03,2011-03-18,Friday,2011-03,2011-03
571299,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,100,2011-10-17 08:30:00,1.79,13798,United Kingdom,179.0,False,2011-10,2011-10-17,Monday,2010-12,2011-10
576589,84859A,SILVER DISCO HANDBAG,12,2011-11-15 14:29:00,1.95,17659,United Kingdom,23.4,False,2011-11,2011-11-15,Tuesday,2010-12,2011-11
559153,23166,MEDIUM CERAMIC TOP STORAGE JAR,12,2011-07-06 15:10:00,1.25,13804,United Kingdom,15.0,False,2011-07,2011-07-06,Wednesday,2011-02,2011-07
566962,20727,LUNCH BAG  BLACK SKULL.,2,2011-09-15 17:07:00,1.65,16764,United Kingdom,3.3,False,2011-09,2011-09-15,Thursday,2011-07,2011-09
557033,22236,CAKE STAND 3 TIER MAGIC GARDEN,2,2011-06-16 13:48:00,12.75,13826,United Kingdom,25.5,False,2011-06,2011-06-16,Thursday,2011-06,2011-06
553423,22431,WATERING CAN BLUE ELEPHANT,1,2011-05-17 10:28:00,1.95,17811,United Kingdom,1.95,False,2011-05,2011-05-17,Tuesday,2011-01,2011-05
579196,23283,DOORMAT VINTAGE LEAF,2,2011-11-28 15:54:00,15.79,14096,United Kingdom,31.58,False,2011-11,2011-11-28,Monday,2011-08,2011-11
567692,21479,WHITE SKULL HOT WATER BOTTLE ,2,2011-09-21 17:05:00,4.25,17997,United Kingdom,8.5,False,2011-09,2011-09-21,Wednesday,2011-06,2011-09
545340,22469,HEART OF WICKER SMALL,12,2011-03-02 08:41:00,1.65,15416,United Kingdom,19.799999999999997,False,2011-03,2011-03-02,Wednesday,2011-03,2011-03
579440,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,6,2011-11-29 13:32:00,2.89,14388,United Kingdom,17.34,False,2011-11,2011-11-29,Tuesday,2010-12,2011-11
571601,22191,IVORY DINER WALL CLOCK,1,2011-10-18 10:53:00,8.5,17073,United Kingdom,8.5,False,2011-10,2011-10-18,Tuesday,2011-08,2011-10
571717,22147,FELTCRAFT BUTTERFLY HEARTS,2,2011-10-18 17:10:00,1.45,14381,United Kingdom,2.9,False,2011-10,2011-10-18,Tuesday,2011-10,2011-10
579491,21819,GLITTER CHRISTMAS STAR ,3,2011-11-29 15:23:00,0.39,14723,United Kingdom,1.17,False,2011-11,2011-11-29,Tuesday,2010-12,2011-11
566591,22556,PLASTERS IN TIN CIRCUS PARADE ,2,2011-09-13 14:53:00,1.65,16036,United Kingdom,3.3,False,2011-09,2011-09-13,Tuesday,2011-03,2011-09
578211,23569,TRADTIONAL ALPHABET STAMP SET,2,2011-11-23 11:47:00,4.95,12748,United Kingdom,9.9,False,2011-11,2011-11-23,Wednesday,2010-12,2011-11
560523,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,36,2011-07-19 11:56:00,1.25,15462,United Kingdom,45.0,False,2011-07,2011-07-19,Tuesday,2011-06,2011-07
558093,21627,ELEPHANT CARNIVAL POUFFE,2,2011-06-26 13:00:00,14.95,17969,United Kingdom,29.9,False,2011-06,2011-06-26,Sunday,2010-12,2011-06
581057,23407,SET OF 2 TRAYS HOME SWEET HOME,2,2011-12-07 11:03:00,9.95,16817,United Kingdom,19.9,False,2011-12,2011-12-07,Wednesday,2010-12,2011-12
570676,23175,REGENCY MILK JUG PINK ,4,2011-10-11 15:10:00,3.25,14640,United Kingdom,13.0,False,2011-10,2011-10-11,Tuesday,2011-04,2011-10
541270,22360,GLASS JAR ENGLISH CONFECTIONERY,2,2011-01-17 11:09:00,2.95,14976,United Kingdom,5.9,False,2011-01,2011-01-17,Monday,2011-01,2011-01
581146,23381,PACK OF 12 VINTAGE LEAF TISSUES ,12,2011-12-07 13:53:00,0.39,17602,United Kingdom,4.68,False,2011-12,2011-12-07,Wednesday,2011-01,2011-12
571054,23225,CHERUB HEART DECORATION SILVER ,1,2011-10-13 13:58:00,0.83,14234,United Kingdom,0.83,False,2011-10,2011-10-13,Thursday,2011-10,2011-10
556049,47566,PARTY BUNTING,50,2011-06-08 13:00:00,4.15,16013,United Kingdom,207.50000000000003,False,2011-06,2011-06-08,Wednesday,2010-12,2011-06
571883,22907,PACK OF 20 NAPKINS PANTRY DESIGN,1,2011-10-19 13:58:00,0.85,14704,United Kingdom,0.85,False,2011-10,2011-10-19,Wednesday,2011-06,2011-10
546108,84086B,YELLOW/BLUE RETRO RADIO,2,2011-03-09 12:35:00,2.95,15529,United Kingdom,5.9,False,2011-03,2011-03-09,Wednesday,2010-12,2011-03
551966,23150,IVORY SWEETHEART SOAP DISH,1,2011-05-05 13:14:00,2.49,15356,United Kingdom,2.49,False,2011-05,2011-05-05,Thursday,2010-12,2011-05
567428,21259,VICTORIAN SEWING BOX SMALL ,2,2011-09-20 11:35:00,5.95,14911,EIRE,11.9,False,2011-09,2011-09-20,Tuesday,2010-12,2011-09
580887,22192,BLUE DINER WALL CLOCK,1,2011-12-06 12:26:00,8.5,13755,United Kingdom,8.5,False,2011-12,2011-12-06,Tuesday,2011-10,2011-12
567710,22178,VICTORIAN GLASS HANGING T-LIGHT,6,2011-09-22 10:03:00,1.95,16213,United Kingdom,11.7,False,2011-09,2011-09-22,Thursday,2011-09,2011-09
572277,23078,ICE CREAM PEN LIP GLOSS ,40,2011-10-23 10:38:00,1.25,16768,United Kingdom,50.0,False,2011-10,2011-10-23,Sunday,2011-03,2011-10
574547,23157,SET OF 6 NATIVITY MAGNETS ,3,2011-11-04 15:08:00,2.08,17841,United Kingdom,6.24,False,2011-11,2011-11-04,Friday,2010-12,2011-11
581179,23569,TRADTIONAL ALPHABET STAMP SET,12,2011-12-07 15:43:00,4.95,12471,Germany,59.400000000000006,False,2011-12,2011-12-07,Wednesday,2010-12,2011-12
563560,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-08-17 14:00:00,0.55,12971,United Kingdom,13.200000000000001,False,2011-08,2011-08-17,Wednesday,2010-12,2011-08
C571695,84992,72 SWEETHEART FAIRY CAKE CASES,-24,2011-10-18 14:46:00,0.55,14776,United Kingdom,-13.200000000000001,True,2011-10,2011-10-18,Tuesday,2011-01,2011-10
561241,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2011-07-26 11:00:00,1.25,13930,United Kingdom,15.0,False,2011-07,2011-07-26,Tuesday,2011-07,2011-07
555573,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-06-05 15:46:00,1.45,15349,United Kingdom,17.4,False,2011-06,2011-06-05,Sunday,2011-06,2011-06
541138,22553,PLASTERS IN TIN SKULLS,12,2011-01-14 10:42:00,1.65,12553,France,19.799999999999997,False,2011-01,2011-01-14,Friday,2011-01,2011-01
536833,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-02 17:48:00,1.45,18239,United Kingdom,17.4,False,2010-12,2010-12-02,Thursday,2010-12,2010-12
552822,21913,VINTAGE SEASIDE JIGSAW PUZZLES,4,2011-05-11 12:59:00,3.75,15521,United Kingdom,15.0,False,2011-05,2011-05-11,Wednesday,2011-03,2011-05
570049,84991,60 TEATIME FAIRY CAKE CASES,3,2011-10-07 10:55:00,0.55,17228,United Kingdom,1.6500000000000001,False,2011-10,2011-10-07,Friday,2010-12,2011-10
550251,22413,METAL SIGN TAKE IT OR LEAVE IT ,6,2011-04-15 11:44:00,2.95,14323,United Kingdom,17.700000000000003,False,2011-04,2011-04-15,Friday,2011-04,2011-04
554654,21890,S/6 WOODEN SKITTLES IN COTTON BAG,6,2011-05-25 13:34:00,3.25,12815,Poland,19.5,False,2011-05,2011-05-25,Wednesday,2011-05,2011-05
548801,22196,SMALL HEART MEASURING SPOONS,12,2011-04-04 12:44:00,0.85,15289,United Kingdom,10.2,False,2011-04,2011-04-04,Monday,2011-04,2011-04
553762,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-05-19 10:38:00,3.95,18145,United Kingdom,15.8,False,2011-05,2011-05-19,Thursday,2011-01,2011-05
572651,22491,PACK OF 12 COLOURED PENCILS,12,2011-10-25 12:06:00,0.85,17350,United Kingdom,10.2,False,2011-10,2011-10-25,Tuesday,2011-10,2011-10
557669,23084,RABBIT NIGHT LIGHT,24,2011-06-22 09:43:00,1.79,12674,France,42.96,False,2011-06,2011-06-22,Wednesday,2011-05,2011-06
542098,22526,WHEELBARROW FOR CHILDREN ,2,2011-01-25 13:04:00,12.75,16531,United Kingdom,25.5,False,2011-01,2011-01-25,Tuesday,2010-12,2011-01
578262,22356,CHARLOTTE BAG PINK POLKADOT,2,2011-11-23 13:27:00,0.85,18283,United Kingdom,1.7,False,2011-11,2011-11-23,Wednesday,2011-01,2011-11
567165,23034,DRAWER KNOB CERAMIC BLACK,6,2011-09-18 11:58:00,1.45,17841,United Kingdom,8.7,False,2011-09,2011-09-18,Sunday,2010-12,2011-09
538517,22750,FELTCRAFT PRINCESS LOLA DOLL,1,2010-12-12 16:05:00,3.75,17618,United Kingdom,3.75,False,2010-12,2010-12-12,Sunday,2010-12,2010-12
553005,22921,HERB MARKER CHIVES ,2,2011-05-12 16:29:00,0.65,14651,United Kingdom,1.3,False,2011-05,2011-05-12,Thursday,2011-05,2011-05
551516,20969,RED FLORAL FELTCRAFT SHOULDER BAG,2,2011-05-01 11:10:00,3.75,14800,United Kingdom,7.5,False,2011-05,2011-05-01,Sunday,2010-12,2011-05
C570963,21531,RED RETROSPOT SUGAR JAM BOWL,-1,2011-10-13 11:49:00,2.55,13816,Germany,-2.55,True,2011-10,2011-10-13,Thursday,2011-10,2011-10
578925,22576,SWALLOW WOODEN CHRISTMAS DECORATION,2,2011-11-27 12:13:00,0.85,17365,United Kingdom,1.7,False,2011-11,2011-11-27,Sunday,2011-01,2011-11
574474,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,14,2011-11-04 12:05:00,2.55,17979,United Kingdom,35.699999999999996,False,2011-11,2011-11-04,Friday,2011-03,2011-11
542506,22386,JUMBO BAG PINK POLKADOT,10,2011-01-28 12:06:00,1.95,16523,United Kingdom,19.5,False,2011-01,2011-01-28,Friday,2011-01,2011-01
544445,22434,BALLOON PUMP WITH 10 BALLOONS,1,2011-02-20 10:56:00,1.95,16746,United Kingdom,1.95,False,2011-02,2011-02-20,Sunday,2010-12,2011-02
